Number,Constituency,District,UDF candidate|UDF candidate[3][4],Party,Votes,LDF candidate[5][6][7],Party,Votes,NDA candidate[8][9],Party,Votes,Winner,Margin,Winning party,Winning Alliance
87,Kothamangalam,Ernakulam,Shibu Thekkumpuram,KC,57629,Antony John,CPI(M),"64,234",Shine K. Krishnan,BDJS,4638,Antony John,6605,CPI(M),LDF
88,Devikulam (SC),Idukki,D. Kumar,INC,51201,A. Raja,CPI(M),"59,049",S. Ganeshan*,AIADMK,4717,A. Raja,7848,CPI(M),LDF
89,Udumbanchola,Idukki,E. M. Augusthy,INC,39076,M. M. Mani,CPI(M),"77,381",Santhosh Madhavan,BDJS,7208,M. M. Mani,38305,CPI(M),LDF
90,Thodupuzha,Idukki,P. J. Joseph,KC,67495,K. I. Antony,KC(M),"47,236",Shyam Raj P.,BJP,21263,P. J. Joseph,20259,KC,UDF
91,Idukki,Idukki,Francis George,KC,56795,Roshy Augustine,KC(M),"62,368",Sangeetha Viswanathan,BDJS,9286,Roshy Augustine,5573,KC(M),LDF
92,Peerumede,Idukki,Syriac Thomas,INC,58306,Vazhoor Soman,CPI,"60,141",Srinagari Rajan,BJP,7126,Vazhoor Soman,1835,CPI,LDF
93,Pala,Kottayam,Mani C. Kappan,Ind.,69804,Jose K. Mani,KC(M),"54,418",Prameela Devi,BJP,10869,Mani C. Kappan,15386,Ind.,UDF
94,Kaduthuruthy,Kottayam,Monce Joseph,KC,59666,Stephen George,KC(M),"55,410",Lijinlal G.,BJP,11670,Monce Joseph,4256,KC,UDF
95,Vaikom (SC),Kottayam,P. R. Sona,INC,42266,C. K. Asha,CPI,71388,Ajitha Sabu,BDJS,11953,C. K. Asha,29122,CPI,LDF
96,Ettumanoor,Kottayam,Pr INCe Lukose,KC,43986,V. N. Vasavan,CPI(M),"58,289",T. N. Harikumar,BJP,13746,V. N. Vasavan,14303,CPI(M),LDF
97,Kottayam,Kottayam,Thiruvanchoor Radhakrishnan,INC,65401,K. Anilkumar,CPI(M),"46,658",Minerva Mohan,BJP,8611,Thiruvanchoor Radhakrishnan,18743,INC,UDF
98,Puthuppally,Kottayam,Oommen Chandy,INC,63372,Jaick C. Thomas,CPI(M),"54,328",N. Hari,BJP,11694,Oommen Chandy,9044,INC,UDF
99,Changanassery,Kottayam,V. J. Laly,KC,49366,Job Michael,KC(M),"55,425",G. Raman Nair,BJP,14491,Job Michael,6059,KC(M),LDF
100,Kanjirappally,Kottayam,Joseph Vazhackan,INC,46596,N. Jayaraj,KC(M),"60,299",Alphons Kannanthanam,BJP,29157,N. Jayaraj,13703,KC(M),LDF
101,Poonjar,Kottayam,Tomy Kallany,INC,34633,Sebastian Kulathunkal,KC(M),58668,M. P. Sen,BDJS,2965,Sebastian Kulathunkal,16817,KC(M),LDF
102,Aroor,Alappuzha,Shanimol Usman,INC,66804,Daleema Jojo,CPI(M),"73,626",Aniyappan,BDJS,17215,Daleema Jojo,6802,CPI(M),LDF
103,Cherthala,Alappuzha,S. Sarath,INC,77554,P. Prasad,CPI,"83,702",P. S. Jyothis,BDJS,14254,P. Prasad,6148,CPI,LDF
104,Alappuzha,Alappuzha,K. S. Manoj,INC,61768,P. P. Chitharanjan,CPI(M),"73,412",R. Sandeep Vachaspathi,BJP,21650,P. P. Chitharanjan,11644,CPI(M),LDF
105,Ambalappuzha,Alappuzha,M. Liju,INC,50240,H. Salam,CPI(M),"61,365",Anoop Antony Joseph,BJP,22389,H. Salam,11125,CPI(M),LDF
106,Kuttanad,Alappuzha,Jacob Abraham,KC,51863,Thomas K. Thomas,NCP,"57,379",Thampi Mettuthara,BDJS,14946,Thomas K. Thomas,5516,NCP,LDF
107,Haripad,Alappuzha,Ramesh Chennithala,INC,72768,R. Sajilal,CPI,"59,102",K. Soman,BJP,17890,Ramesh Chennithala,13666,INC,UDF
108,Kayamkulam,Alappuzha,Aritha Babu,INC,71050,U. Prathibha,CPI(M),"77,348",Pradeep Lal,BDJS,11413,U. Prathibha,6298,CPI(M),LDF
109,Mavelikkara (SC),Alappuzha,K. K. Shaju,INC,47026,M. S. Arun Kumar,CPI(M),"71,743",Sanju,BJP,30955,M. S. Arun Kumar,24717,CPI(M),LDF
110,Chengannur,Alappuzha,M. Murali,INC,39309,Saji Cheriyan,CPI(M),"71,293",M. V. Gopakumar,BJP,34493,Saji Cheriyan,31984,CPI(M),LDF
111,Thiruvalla,Pathanamthitta,Kunju Koshy Paul,KC,50757,Mathew T. Thomas,JD(S),62178,Ashokan Kulanada,BJP,22674,Mathew T. Thomas,11421,JD(S),LDF
112,Ranni,Pathanamthitta,Ringoo Cherian,INC,43060,Pramod Narayan,KC(M),"44,774",Padmakumar K.,BDJS,16089,Pramod Narayan,1123,KC(M),LDF
113,Aranmula,Pathanamthitta,K. Sivadasan Nair,INC,55947,Veena George,CPI(M),"74,950",Biju Mathew,BJP,29099,Veena George,19003,CPI(M),LDF
114,Konni,Pathanamthitta,Robin Peter,INC,53810,K. U. Jenish Kumar,CPI(M),"62,318",K. Surendran,BJP,32811,K. U. Jenish Kumar,8508,CPI(M),LDF
115,Adoor (SC),Pathanamthitta,M. G. Kannan,INC,51064,Chittayam Gopakumar,CPI,"54,026",Pandalam Prathapan,BJP,20105,Chittayam Gopakumar,2962,CPI,LDF
116,Karunagapally,Kollam,C. R. Mahesh,INC,93932,R. Ramachandran,CPI,"64,836",Bitty Sudheer,BJP,12031,C. R. Mahesh,29096,INC,UDF
