constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
59,NENMARA,193075,1,K. Babu,MALE,57,GENERAL,CPI(M),"Hammer, Sickle and Star",77887,2258,80145,52.89,TRUE
59,NENMARA,193075,2,C.N.Vijayakrishnan,MALE,61,GENERAL,CMPKSC,Battery torch,50491,950,51441,33.95,FALSE
59,NENMARA,193075,3,Anurag .A.N,MALE,42,GENERAL,BDJS,Helmet,16388,278,16666,11,FALSE
59,NENMARA,193075,4,Prakash.C,MALE,29,SC,BSP,Elephant,1302,48,1350,0.89,FALSE
59,NENMARA,193075,,NOTA,,,,NOTA,NOTA,1049,21,1070,0.71,FALSE
59,NENMARA,193075,6,Babu S/o Kunchu,MALE,47,GENERAL,IND,Boat with Man and Sail,841,22,863,0.57,FALSE
60,ALATHUR,171419,1,K.D.PRASENAN,MALE,55,GENERAL,CPI(M),"Hammer, Sickle and Star",72947,1706,74653,55.15,TRUE
60,ALATHUR,171419,2,PALAYAM PRADEEP,MALE,38,GENERAL,INC,Hand,39762,773,40535,29.94,FALSE
60,ALATHUR,171419,3,PRASANTH SIVAN,MALE,31,GENERAL,BJP,Lotus,18115,234,18349,13.56,FALSE
60,ALATHUR,171419,,NOTA,,,,NOTA,NOTA,765,18,783,0.58,FALSE
60,ALATHUR,171419,5,CHANDRAN,MALE,62,SC,BSP,Elephant,688,11,699,0.52,FALSE
60,ALATHUR,171419,6,RAJESH.M,MALE,35,GENERAL,IND,BUCKET,339,8,347,0.26,FALSE
61,CHELAKKARA,198392,1,K RADHAKRISHNAN,MALE,57,SC,CPI(M),"Hammer, Sickle and Star",81885,1530,83415,54.41,TRUE
61,CHELAKKARA,198392,2,C C SREEKUMAR,MALE,49,SC,INC,Hand,43150,865,44015,28.71,FALSE
61,CHELAKKARA,198392,3,SHAJUMON VATTEKKAD,MALE,46,SC,BJP,Lotus,23716,329,24045,15.68,FALSE
61,CHELAKKARA,198392,4,CHANDRAN THIYATH,MALE,50,SC,SDPI,Scissors,1110,10,1120,0.73,FALSE
61,CHELAKKARA,198392,,NOTA,,,,NOTA,NOTA,709,11,720,0.47,FALSE
62,KUNNAMKULAM,198378,1,A.C.MOIDEEN,MALE,64,GENERAL,CPI(M),"Hammer, Sickle and Star",73979,1553,75532,48.78,TRUE
62,KUNNAMKULAM,198378,2,K.JAYASANKAR,MALE,47,GENERAL,INC,Hand,47478,1423,48901,31.58,FALSE
62,KUNNAMKULAM,198378,3,Adv. K.K.ANEESHKUMAR,MALE,42,GENERAL,BJP,Lotus,27479,354,27833,17.98,FALSE
62,KUNNAMKULAM,198378,4,V.S.ABOOBACKER,MALE,45,GENERAL,SDPI,Scissors,1229,12,1241,0.8,FALSE
62,KUNNAMKULAM,198378,,NOTA,,,,NOTA,NOTA,554,5,559,0.36,FALSE
62,KUNNAMKULAM,198378,6,MOIDEEN.K.M s/o MUHAMMED,MALE,67,GENERAL,IND,Pot,365,15,380,0.25,FALSE
62,KUNNAMKULAM,198378,7,JAMES PANADAN,MALE,58,GENERAL,IND,Walking Stick,258,7,265,0.17,FALSE
62,KUNNAMKULAM,198378,8,A.K.MOIDHEENKUTTY,MALE,52,GENERAL,IND,Pressure Cooker,110,10,120,0.08,FALSE
63,GURUVAYOOR,211447,1,N.K.AKBAR,MALE,51,GENERAL,CPI(M),"Hammer, Sickle and Star",76052,1020,77072,52.52,TRUE
63,GURUVAYOOR,211447,2,Adv.K N A KHADER,MALE,71,GENERAL,IUML,Ladder,57918,886,58804,40.07,FALSE
63,GURUVAYOOR,211447,3,DILEEP NAIR,MALE,53,GENERAL,DSJP,Television,6222,72,6294,4.29,FALSE
63,GURUVAYOOR,211447,4,ASHARAF VADAKKOOT,MALE,50,GENERAL,SDPI,Scissors,2870,19,2889,1.97,FALSE
63,GURUVAYOOR,211447,,NOTA,,,,NOTA,NOTA,997,10,1007,0.69,FALSE
63,GURUVAYOOR,211447,6,ANTONY,MALE,56,GENERAL,IND,Walking Stick,382,10,392,0.27,FALSE
63,GURUVAYOOR,211447,7,M.KUMAR,MALE,62,SC,SUCI,Battery torch,288,13,301,0.21,FALSE
64,MANALUR,222706,1,MURALI PERUNELLY,MALE,70,GENERAL,CPI(M),"Hammer, Sickle and Star",76339,1998,78337,46.77,TRUE
64,MANALUR,222706,2,VIJAY HARI,MALE,45,GENERAL,INC,Hand,46607,1854,48461,28.93,FALSE
64,MANALUR,222706,3,A.N. RADHAKRISHNAN,MALE,61,GENERAL,BJP,Lotus,35951,615,36566,21.83,FALSE
64,MANALUR,222706,4,P.FAISAL IBRAHIM,MALE,37,GENERAL,SDPI,Scissors,2266,28,2294,1.37,FALSE
64,MANALUR,222706,,NOTA,,,,NOTA,NOTA,712,0,712,0.43,FALSE
64,MANALUR,222706,6,DEVARAJAN MOOKOLA,MALE,66,GENERAL,IND,Pineapple,648,12,660,0.39,FALSE
64,MANALUR,222706,7,ABHAYAN MANALUR,MALE,43,SC,BSP,Elephant,449,23,472,0.28,FALSE
65,WADAKKANCHERY,218083,1,Xavier Chittilappilly,MALE,49,GENERAL,CPI(M),"Hammer, Sickle and Star",79216,1810,81026,47.7,TRUE
65,WADAKKANCHERY,218083,2,Anil Akkara,MALE,48,GENERAL,INC,Hand,64089,1769,65858,38.77,FALSE
65,WADAKKANCHERY,218083,3,T.S Ullas Babu,MALE,39,GENERAL,BJP,Lotus,21408,339,21747,12.8,FALSE
65,WADAKKANCHERY,218083,,NOTA,,,,NOTA,NOTA,829,13,842,0.5,FALSE
65,WADAKKANCHERY,218083,5,Haji Aboobaker Kundukadan,MALE,71,GENERAL,IND,Football,378,10,388,0.23,FALSE
66,OLLUR,208075,1,K Rajan,MALE,47,GENERAL,CPI,Ears of Corn And Sickle,75357,1300,76657,49.09,TRUE
66,OLLUR,208075,2,Jose Valloor,MALE,56,GENERAL,INC,Hand,54100,1051,55151,35.31,FALSE
66,OLLUR,208075,3,Adv. B Gopalakrishnan,MALE,59,GENERAL,BJP,Lotus,22065,230,22295,14.28,FALSE
66,OLLUR,208075,,NOTA,,,,NOTA,NOTA,814,13,827,0.53,FALSE
66,OLLUR,208075,5,K K GEORGE KAKKASSERY,MALE,48,GENERAL,IND,Pineapple,621,7,628,0.4,FALSE
66,OLLUR,208075,6,Benny Kodiyatil,MALE,49,GENERAL,IND,Auto- Rickshaw,330,1,331,0.21,FALSE
66,OLLUR,208075,7,P K Subramanian,MALE,62,SC,BSP,Elephant,276,6,282,0.18,FALSE
67,THRISSUR,182823,1,P BALACHANDRAN,MALE,57,GENERAL,CPI,Ears of Corn And Sickle,43048,1215,44263,34.25,TRUE
67,THRISSUR,182823,2,PADMAJA VENUGOPAL,FEMALE,60,GENERAL,INC,Hand,41996,1321,43317,33.52,FALSE
67,THRISSUR,182823,3,SURESH GOPI,MALE,62,GENERAL,BJP,Lotus,39616,841,40457,31.3,FALSE
67,THRISSUR,182823,,NOTA,,,,NOTA,NOTA,712,11,723,0.56,FALSE
67,THRISSUR,182823,5,AJITH MENON PONNEMKATTIL,MALE,52,GENERAL,IND,Auto- Rickshaw,243,9,252,0.19,FALSE
68,NATTIKA,210708,1,C C MUKUNDHAN,MALE,62,SC,CPI,Ears of Corn And Sickle,71297,1633,72930,47.49,TRUE
68,NATTIKA,210708,2,ADV. SUNIL LALOOR,MALE,40,SC,INC,Hand,43379,1120,44499,28.98,FALSE
68,NATTIKA,210708,3,LOJANAN AMBATT,MALE,39,SC,BJP,Lotus,33190,526,33716,21.96,FALSE
68,NATTIKA,210708,,NOTA,,,,NOTA,NOTA,815,15,830,0.54,FALSE
68,NATTIKA,210708,5,C S JITHESHKUMAR,MALE,37,SC,IND,Football,604,13,617,0.4,FALSE
