Constituency,,Winner,,,,,,,Runner-up,,,,,,,Margin
No.,Name,Candidate,Party,,Alliance,,Votes,%,Candidate,Party,,Alliance,,Votes,%,
78,Paravur,V. D. Satheesan,,INC,,UDF,"74,985",46.7,Sarada Mohan,,CPI,,LDF,"54,351",33.85,"20,634"
79,Vypen,S. Sharma,,CPI(M),,LDF,"68,526",52.24,K. R. Subhash,,INC,,UDF,"49,173",37.49,"19,353"
80,Kochi,K. J. Maxi,,CPI(M),,LDF,"47,967",38.7,Dominic Presentation,,INC,,UDF,"46,881",37.82,"1,086"
81,Thrippunithura,M. Swaraj,,CPI(M),,LDF,"62,697",40.53,K. Babu,,INC,,UDF,"58,230",37.64,"4,467"
82,Ernakulam,Hibi Eden,,INC,,UDF,"57,819",52.32,M. Anil Kumar,,CPI(M),,LDF,"35,870",32.46,"21,949"
83,Thrikkakara,P. T. Thomas,,INC,,UDF,"61,451",45.42,Sebastian Paul,,CPI(M),,LDF,"49,455",36.87,"11,996"
84,Kunnathunad (SC),V. P. Sajeendran,,INC,,UDF,"65,445",44.13,Shiji Shivaji,,CPI(M),,LDF,"62,766",42.32,"2,679"
85,Piravom,Anoop Jacob,,KC(J),,UDF,"73,770",45.77,M. J. Jacob,,CPI(M),,LDF,"67,575",41.93,"6,195"
86,Muvattupuzha,Eldho Abraham,,CPI,,LDF,"70,269",49.27,Joseph Vazhackkan,,INC,,UDF,"60,894",42.7,"9,375"
87,Kothamangalam,Antony John,,CPI(M),,LDF,"65,467",49.26,T. U. Kuruvilla,,KC(M),,UDF,"46,185",37.88,"19,282"
Idukki district,,,,,,,,,,,,,,,,
88,Devikulam (SC),S. Rajendran,,CPI(M),,LDF,"49,510",42.18,A. K. Moni,,INC,,UDF,"43,728",37.25,"5,782"
89,Udumbanchola,M. M. Mani,,CPI(M),,LDF,"50,813",40.32,Senapathy Venu,,INC,,UDF,"49,704",39.44,"1,109"
90,Thodupuzha,P. J. Joseph,,KC(M),,UDF,"76,564",54.08,Roy Varicattu,,IND,,LDF,"30,977",21.88,"46,587"
91,Idukki,Roshy Augustine,,KC(M),,UDF,"60,556",42.86,K. Francis George,,IND,,LDF,"51,223",36.26,"9,333"
92,Peerumade,E. S. Bijimol,,CPI,,LDF,"56,584",43.94,Syriac Thomas,,INC,,UDF,"56,270",43.7,314
Kottayam district,,,,,,,,,,,,,,,,
93,Pala,K. M. Mani,,KC(M),,UDF,"56,884",42.13,Mani C. Kappan,,NCP,,LDF,"54,181",38.76,"2,603"
94,Kaduthurthy,Mons Joseph,,KC(M),,UDF,"73,393",58.03,Skaria Thomas,,KC(ST),,LDF,"31,537",24.8,"42,256"
95,Vaikom (SC),C. K. Asha,,CPI,,LDF,"61,997",46.95,A. Saneeshkumar,,INC,,UDF,"37,413",28.33,"24,584"
